,category,sub_category
0,Restaurants,Chinese
1,Restaurants,Mexican
2,Restaurants,Breakfast & Brunch
3,Restaurants,Italian
4,Restaurants,American
5,Restaurants,Barbecue
6,Restaurants,Japanese
7,Restaurants,Latin American
8,Restaurants,Sushi Bars
9,Restaurants,Caribbean
10,Restaurants,Halal
11,Restaurants,Indian
12,Restaurants,Mediterranean
13,Restaurants,Asian Fusion
14,Restaurants,Thai
15,Restaurants,Noodles
16,Restaurants,Korean
17,Restaurants,Vegan
18,Restaurants,French
19,Restaurants,Middle Eastern
20,Restaurants,Spanish
21,Restaurants,Steakhouses
22,Restaurants,Lounges
23,Restaurants,Diners
24,Restaurants,Greek
25,Restaurants,Vegetarian
26,Restaurants,Ramen
27,Restaurants,Dim Sum
28,Restaurants,Tapas/Small Plates
29,Restaurants,Colombian
30,Restaurants,Dominican
31,Restaurants,Vietnamese
32,Restaurants,Peruvian
33,Restaurants,Wraps
34,Restaurants,Soul Food
35,Restaurants,Gluten-Free
36,Restaurants,Cantonese
37,Restaurants,Cuban
38,Restaurants,Gastropubs
39,Restaurants,Pasta Shops
40,Restaurants,Szechuan
41,Restaurants,African
42,Restaurants,Creperies
43,Restaurants,Irish
44,Restaurants,Pakistani
45,Restaurants,Southern
46,Restaurants,Filipino
47,Restaurants,Anhui
48,Restaurants,Acehnese
49,Restaurants,Afghan
50,Restaurants,Abruzzo
51,Restaurants,Andhra
52,Restaurants,Arabic
53,Restaurants,Argentinian
54,Restaurants,Asian
55,Restaurants,Australian
56,Restaurants,Austrian
57,Restaurants,Awadhi
58,Restaurants,Azerbaijani
59,Restaurants,Baden
60,Restaurants,Balinese
61,Restaurants,Buffet
62,Restaurants,Chicken
63,Restaurants,Family
64,Restaurants,Hamburger
65,Restaurants,Indonesian
66,Restaurants,Pizza
67,Restaurants,Turkish
68,Restaurants,Western
69,Restaurants,Sichuan
70,Shopping,Fashion
71,Shopping,International Grocery
72,Shopping,Jewelry
73,Shopping,Women's Clothing
74,Shopping,Drugstores
75,Shopping,"Books, Mags, Music & Video"
76,Shopping,Accessories
77,Shopping,Furniture Stores
78,Shopping,Shoe Stores
79,Shopping,Convenience Stores
80,Shopping,Men's Clothing
81,Shopping,Antiques
82,Shopping,Sporting Goods
83,Shopping,Sports Wear
84,Shopping,Sports Wear
85,Shopping,Home Decor
86,Shopping,Videos & Video Game Rental
87,Shopping,Leather Goods
88,Shopping,Department Stores
89,Shopping,Watches
90,Shopping,Discount Store
91,Shopping,Music & DVDs
92,Shopping,Book store
93,Shopping,Toy Stores
94,Shopping,Lingerie
95,Shopping,Mattresses
96,Shopping,Bridal
97,Shopping,Wholesale Stores
98,Shopping,Personal Shopping
99,Shopping,Arts & Crafts
100,Shopping,Shopping Centers
101,Shopping,Hobby Shops
102,Shopping,Customized Merchandise
103,Shopping,"Used, Vintage & Consignment"
104,Shopping,Pop-up Shops
105,Shopping,Fur Clothing
106,Shopping,Flowers & Gifts
107,Shopping,Malls
108,Shopping,Shops
109,Shopping,Specialty Shops
110,Shopping,Airport Shops
111,Shopping,Farmers market
112,Shopping,Flea/ Street Markets
113,Shopping,Baby & children's clothing store
114,Shopping,Electronic shop
115,Shopping,Piano store
116,Shopping,Supermarket
117,Shopping,Silk store
118,Shopping,Mexican grocery store
119,Shopping,Japanese grocery store
120,Shopping,Vintage clothing store
121,Shopping,Welding supply store
122,Shopping,Vape Shops
123,Shopping,Building materials store
124,Shopping,Cell phone store
125,Shopping,Computer store
126,Shopping,Cosmetics store
127,Shopping,Tobacco shop
128,Nightlife,Bars
129,Nightlife,Cocktail Bars
130,Nightlife,Wine Bars
131,Nightlife,Sports Bars
132,Nightlife,Pubs
133,Nightlife,Music Venues
134,Nightlife,Beer Bar
135,Nightlife,Dance Clubs
136,Nightlife,Hookah Bars
137,Nightlife,Dive Bars
138,Nightlife,Karaoke
139,Nightlife,Irish Pub
140,Nightlife,Comedy Clubs
141,Nightlife,Pool Halls
142,Nightlife,Jazz & Blues
143,Nightlife,Tapas Bars
144,Nightlife,Beer Gardens
145,Nightlife,Gay Bars
146,Nightlife,Speakeasies
147,Nightlife,Airport Lounges
148,Nightlife,Whiskey Bars
149,Nightlife,"Beer, Wine & Spirits"
150,Nightlife,Cigar Bars
151,Nightlife,Tex-Mex
152,Nightlife,Portuguese
153,Nightlife,Cajun/Creole
154,Nightlife,Breweries
155,Nightlife,German
156,Nightlife,Tiki Bars
157,Nightlife,Jazz Bars
158,Nightlife,Performances
159,Nightlife,Blues Bars
160,Nightlife,Piano Bar
161,Nightlife,Country Western Bars
162,Nightlife,Poke bar
163,Nightlife,Cider bar
164,Nightlife,Night Club
165,Active Life,Fitness & Instruction
166,Active Life,Trainers
167,Active Life,Gyms
168,Active Life,Martial Arts
169,Active Life,Yoga
170,Active Life,Dance Studios
171,Active Life,Summer Camps
172,Active Life,Pilates
173,Active Life,Meditation Centers
174,Active Life,Sports Clubs
175,Active Life,Boot Camps
176,Active Life,Playgrounds
177,Active Life,Boxing
178,Active Life,Child Care & Day Care
179,Active Life,Taekwondo
180,Active Life,Amateur Sports Teams
181,Active Life,Tennis
182,Active Life,Kickboxing
183,Active Life,Swimming Lessons/Schools
184,Active Life,Karate
185,Active Life,Day Camps
186,Active Life,Golf
187,Active Life,Boating
188,Active Life,Interval Training Gyms
189,Active Life,Soccer
190,Active Life,Swimming Pools
191,Active Life,Reiki
192,Active Life,Physical Therapy
193,Active Life,Bike Rentals
194,Active Life,Cardio Classes
195,Active Life,Brazilian Jiu-jitsu
196,Active Life,Weight Loss Centers
197,Active Life,Recreation Centers
198,Active Life,Self-defense Classes
199,Active Life,Barre Classes
200,Active Life,Life Coach
201,Active Life,Senior Centers
202,Active Life,Fishing
203,Active Life,Gymnastics
204,Active Life,Health Coach
205,Active Life,Amusement Parks
206,Active Life,Basketball Courts
207,Active Life,Cycling Classes
208,Active Life,Muay Thai
209,Active Life,Bowling
210,Active Life,Tai Chi
211,Active Life,Bikes
212,Active Life,Hiking
213,Active Life,Beaches
214,Active Life,Golf Lessons
215,Active Life,Indoor Playcentre
216,Active Life,Skating Rinks
217,Active Life,Rafting/Kayaking
218,Active Life,Baseball Fields
219,Active Life,Circuit Training Gyms
220,Active Life,Escape Games
221,Active Life,Arcades
222,Active Life,Fencing Clubs
223,Active Life,Qi Gong
224,Active Life,Team Building Activities
225,Active Life,Races & Competitions
226,Active Life,Sailing
227,Active Life,Supernatural Readings
228,Active Life,Chinese Martial Arts
229,Active Life,Sports Camps/ Clinics
230,Active Life,Horseback Riding Stables
231,Active Life,Motorcycle Trails
232,Active Life,Cross-country Ski Areas
233,Active Life,Zoos
234,Active Life,Surf Camps
235,Active Life,Off road/All Terrain Vehicle Trails
236,Active Life,Stand-Up Paddleboarding
237,Active Life,Water sports
238,Active Life,Sports Complexes
239,Active Life,Aquariums
240,Active Life,Tourist attraction
241,Automotive,Auto Repair
242,Automotive,Towing
243,Automotive,Gas Stations
244,Automotive,Body Shops
245,Automotive,Car Dealers
246,Automotive,Tires
247,Automotive,Parking
248,Automotive,Auto Detailing
249,Automotive,Car Wash
250,Automotive,Auto Parts & Supplies
251,Automotive,Oil Change Stations
252,Automotive,Auto Glass Services
253,Automotive,Used Car Dealers
254,Automotive,Transmission Repair
255,Automotive,Roadside Assistance
256,Automotive,Vehicle Wraps
257,Automotive,Car Stereo Installation
258,Automotive,Auto Customization
259,Automotive,Vehicle Shipping
260,Automotive,Car Window Tinting
261,Automotive,Commercial Truck Repair
262,Automotive,Car Buyers
263,Automotive,Windshield Installation & Repair
264,Automotive,Wheel & Rim Repair
265,Automotive,Motorcycle Dealers
266,Automotive,Auto Loan Providers
267,Automotive,Car Brokers
268,Automotive,Motorcycle Repair
269,Automotive,Transportation
270,Automotive,Mobility Equipment Sales & Services
271,Automotive,Auto Security
272,Automotive,Car window tinting service
273,Automotive,Car wheel polishing service
274,Automotive,Car store
275,Automotive,Auto parts store
276,Beauty & Spas,Hair Salons
277,Beauty & Spas,Nail Salons
278,Beauty & Spas,Hair Removal
279,Beauty & Spas,Cosmetics & Beauty Supply
280,Beauty & Spas,Barbers
281,Beauty & Spas,Skin Care
282,Beauty & Spas,Hair Stylists
283,Beauty & Spas,Eyelash Service
284,Beauty & Spas,Waxing
285,Beauty & Spas,Makeup Artists
286,Beauty & Spas,Massage
287,Beauty & Spas,Day Spas
288,Beauty & Spas,Medical Spas
289,Beauty & Spas,Hair Extensions
290,Beauty & Spas,Eyebrow Services
291,Beauty & Spas,Laser Hair Removal
292,Beauty & Spas,Permanent Makeup
293,Beauty & Spas,Massage Therapy
294,Beauty & Spas,Tattoo
295,Beauty & Spas,Tanning
296,Beauty & Spas,Threading Services
297,Beauty & Spas,Nail Technicians
298,Beauty & Spas,Blow Dry/Out Services
299,Beauty & Spas,Body Contouring
300,Beauty & Spas,Reflexology
301,Beauty & Spas,Piercing
302,Beauty & Spas,Wigs
303,Beauty & Spas,Teeth Whitening
304,Beauty & Spas,Men's Hair Salons
305,Beauty & Spas,Spray Tanning
306,Beauty & Spas,Perfume
307,Beauty & Spas,Hair Loss Centers
308,Beauty & Spas,Estheticians
309,Beauty & Spas,Cosmetic Surgeons
310,Beauty & Spas,Aestheticians
311,Beauty & Spas,Acne Treatment
312,Beauty & Spas,Acupuncture
313,Beauty & Spas,IV Hydration
314,Beauty & Spas,Kids Hair Salons
315,Beauty & Spas,Tattoo Removal
316,Beauty & Spas,Roman baths
317,Beauty & Spas,Arab baths
318,Beauty & Spas,Hammams & Turkish baths
319,Beauty & Spas,Thermal spas
320,Home Services,Home Cleaning
321,Home Services,Plumbing
322,Home Services,HVAC Services
323,Home Services,Electricians
324,Home Services,Office Cleaning
325,Home Services,Roofing
326,Home Services,Interior Design
327,Home Services,Movers
328,Home Services,Building Supplies
329,Home Services,Flooring
330,Home Services,Landscaping
331,Home Services,Home & Garden
332,Home Services,Handyman
333,Home Services,Pressure Washers
334,Home Services,Lighting Fixtures & Equipment
335,Home Services,Home Health Care
336,Home Services,Security Systems
337,Home Services,Carpet Cleaning
338,Home Services,Home Inspectors
339,Home Services,Keys & Locksmiths
340,Home Services,Cabinetry
341,Home Services,Water Heater Services
342,Home Services,Carpenters
343,Home Services,Tree Services
344,Home Services,Siding
345,Home Services,Window Washing
346,Home Services,Drywall Installation & Repair
347,Home Services,Carpeting
348,Home Services,Tiling
349,Home Services,Kitchen & Bath
350,Home Services,Shades & Blinds
351,Home Services,Glass & Mirrors
352,Home Services,Fences & Gates
353,Home Services,Door Sales/Installation
354,Home Services,Refinishing Services
355,Home Services,Landscape Architects or Designers
356,Home Services,Decks & Railing
357,Home Services,Waterproofing
358,Home Services,Self Storage
359,Home Services,Garage Door Services
360,Home Services,Home Automation
361,Home Services,Home Theatre Installation
362,Home Services,Utilities
363,Home Services,Countertop Installation
364,Home Services,Lawn Services
365,Home Services,Chimney Sweeps
366,Home Services,Foundation Repair
367,Home Services,Pool & Hot Tub Service
368,Home Services,Air Duct Cleaning
369,Home Services,Laundry Services
370,Home Services,Furniture Assembly
371,Home Services,Fire Protection Services
372,Home Services,Solar Installation
373,Home Services,Carpet Installation
374,Home Services,Gardeners
375,Home Services,Babysister
376,Coffee & Tea,Bakeries
377,Coffee & Tea,Cafes
378,Coffee & Tea,Donuts
379,Coffee & Tea,Desserts
380,Coffee & Tea,Juice Bars & Smoothies
381,Coffee & Tea,Bagels
382,Coffee & Tea,Ice Cream & Frozen Yogurt
383,Coffee & Tea,Bubble Tea Store
384,Coffee & Tea,Custom Cakes
385,Coffee & Tea,Acai Bowls
386,Coffee & Tea,Coffee Roasteries
387,Coffee & Tea,Cupcakes
388,Coffee & Tea,Organic Stores
389,Coffee & Tea,Fruits & Veggies
390,Coffee & Tea,Patisserie/Cake Shop
391,Coffee & Tea,Empanadas
392,Coffee & Tea,Poke
393,Coffee & Tea,Chocolatiers & Shops
394,Coffee & Tea,Candy Stores
395,Coffee & Tea,Tea Rooms
396,Coffee & Tea,Gelato
397,Coffee & Tea,Waffles
398,Coffee & Tea,Coffeehouses
399,Coffee & Tea,Coffee shop
400,Coffee & Tea,Ice cream shop
401,Coffee & Tea,Internet cafe
402,Food,Grocery
403,Food,Specialty Food
404,Food,Delis
405,Food,Sandwiches
406,Food,Meat Shops
407,Food,Food Delivery Services
408,Food,Food Trucks
409,Food,Health Markets
410,Food,Seafood
411,Food,Seafood Markets
412,Food,Chicken Wings
413,Food,Burgers
414,Food,Fast Food
415,Food,Salad
416,Food,Food Stands
417,Food,Street Vendors
418,Food,Barbeque
419,Food,Chicken Shop
420,Food,
421,Food,Butcher shop
422,Food,Cheese Shops
423,Food,Tacos
424,Food,Kosher
425,Food,Soup
426,Food,Imported Food
427,Food,Hot Dogs
428,Food,Food Court
429,Food,Organic Food
430,Food,Bar & Grill
431,Food,Bagel shop
432,Food,Bakery
433,Food,Grocery store
434,Food,Soup kitchen
435,Arts & Entertainment,Performing Arts
436,Arts & Entertainment,Art Galleries
437,Arts & Entertainment,Psychics
438,Arts & Entertainment,Museums
439,Arts & Entertainment,Festivals
440,Arts & Entertainment,Social Clubs
441,Arts & Entertainment,Cinema
442,Arts & Entertainment,Astrologers
443,Arts & Entertainment,Psychic Mediums
444,Arts & Entertainment,Paint & Sip
445,Arts & Entertainment,Cultural Center
446,Arts & Entertainment,Framing
447,Arts & Entertainment,Veterans Organizations
448,Arts & Entertainment,Ticket Sales
449,Arts & Entertainment,Country Clubs
450,Arts & Entertainment,Stadiums & Arenas
451,Arts & Entertainment,Professional Sports Teams
452,Arts & Entertainment,Spiritual Shop
453,Arts & Entertainment,Art Museums
454,Arts & Entertainment,Magicians
455,Arts & Entertainment,Opera & Ballet
456,Arts & Entertainment,Recording & Rehearsal Studios
457,Arts & Entertainment,Studio Taping
458,Arts & Entertainment,Botanical Gardens
459,Arts & Entertainment,Casinos
460,Arts & Entertainment,Cabaret
461,Arts & Entertainment,Face Painting
462,Arts & Entertainment,Virtual Reality Centers
463,Arts & Entertainment,Natural History Museums
464,Arts & Entertainment,Children's Museums
465,Arts & Entertainment,Science Museums
466,Arts & Entertainment,Specialty Museums
467,Health & Medical,Doctors
468,Health & Medical,Internal Medicine
469,Health & Medical,Podiatrists
470,Health & Medical,Medical Centers
471,Health & Medical,Cardiologists
472,Health & Medical,Oncologist
473,Health & Medical,Family Practice
474,Health & Medical,Psychiatrists
475,Health & Medical,Obstetricians & Gynecologists
476,Health & Medical,Orthopedists
477,Health & Medical,Surgeons
478,Health & Medical,Pediatricians
479,Health & Medical,Hospitals
480,Health & Medical,Dentists
481,Health & Medical,Diagnostic Services
482,Health & Medical,Nutritionists
483,Health & Medical,Pharmacy
484,Health & Medical,Sports Medicine
485,Health & Medical,General Dentistry
486,Health & Medical,Radiologists
487,Health & Medical,Laboratory Testing
488,Health & Medical,Gastroenterologist
489,Health & Medical,Counseling & Mental Health
490,Health & Medical,Pain Management
491,Health & Medical,Neurologist
492,Health & Medical,Personal Care Services
493,Health & Medical,Dialysis Clinics
494,Health & Medical,Rehabilitation Center
495,Health & Medical,Cosmetic Dentists
496,Health & Medical,Anesthesiologists
497,Health & Medical,Vascular Medicine
498,Health & Medical,Plastic Surgeons
499,Health & Medical,Urologists
500,Health & Medical,Chiropractors
501,Health & Medical,Speech Therapists
502,Health & Medical,Naturopathic/Holistic
